30.12.2016;42734;400;0;0.7
31.12.2016;42735;534;1;0.43
01.01.2017;42736;564;3;1.44
02.01.2017;42737;169;1;2.62
03.01.2017;42738;403;-2;1.79
04.01.2017;42739;0;-1;10.16
05.01.2017;42740;357;-3;6.38
06.01.2017;42741;569;-8;3.26
07.01.2017;42742;25;-5;2.2
08.01.2017;42743;0;-2;5.28
09.01.2017;42744;214;-3;2.2
10.01.2017;42745;0;-1;4.24
11.01.2017;42746;191;0;9.91
12.01.2017;42747;36;3;7.88
13.01.2017;42748;306;1;10.31
14.01.2017;42749;0;-1;11.81
15.01.2017;42750;59;-2;5.8
16.01.2017;42751;106;-3;3.82
17.01.2017;42752;412;-4;11.89
18.01.2017;42753;530;-4;13.44
19.01.2017;42754;267;-4;6.54
20.01.2017;42755;535;-2;2.29
21.01.2017;42756;538;-2;1.4
22.01.2017;42757;528;-1;0.9
23.01.2017;42758;419;-1;1.03
24.01.2017;42759;266;-3;2.5
25.01.2017;42760;377;-4;4.32
26.01.2017;42761;550;-1;1.91
27.01.2017;42762;330;5;5.42
28.01.2017;42763;433;5;2.33
29.01.2017;42764;305;4;1.82
30.01.2017;42765;35;4;3.17
31.01.2017;42766;0;6;5.15
01.02.2017;42767;272;8;2.8
02.02.2017;42768;324;7;3.98
03.02.2017;42769;341;6;3.08
04.02.2017;42770;3;4;5.92
05.02.2017;42771;0;2;2.83
06.02.2017;42772;0;3;3.17
07.02.2017;42773;86;2;1.89
08.02.2017;42774;0;3;2.84
09.02.2017;42775;250;0;4.16
10.02.2017;42776;48;2;0.9
11.02.2017;42777;242;3;1.25
12.02.2017;42778;472;5;2.21
13.02.2017;42779;522;3;4.24
14.02.2017;42780;463;5;0.92
15.02.2017;42781;588;6;1.59
16.02.2017;42782;576;7;1.67
17.02.2017;42783;0;5;3.23
18.02.2017;42784;618;4;2.57
19.02.2017;42785;516;4;2.2
20.02.2017;42786;203;6;4.31
21.02.2017;42787;79;8;6.37
22.02.2017;42788;570;8;6.38
23.02.2017;42789;473;10;6.16
24.02.2017;42790;15;4;5.43
25.02.2017;42791;350;3;1.28
26.02.2017;42792;15;7;2.95
27.02.2017;42793;614;8;3.47
28.02.2017;42794;56;7;9.61
01.03.2017;42795;302;4;12.2
02.03.2017;42796;441;7;7.03
03.03.2017;42797;142;6;4.27
04.03.2017;42798;174;10;9.86
05.03.2017;42799;345;5;6.09
06.03.2017;42800;0;3;6.35
07.03.2017;42801;14;3;7.32
08.03.2017;42802;68;4;3.66
09.03.2017;42803;0;8;6.61
10.03.2017;42804;525;7;1.88
11.03.2017;42805;557;6;1.61
12.03.2017;42806;297;7;2.05
13.03.2017;42807;431;6;1.56
14.03.2017;42808;325;8;0.92
15.03.2017;42809;597;9;2.03
16.03.2017;42810;448;9;2.2
17.03.2017;42811;480;11;4.74
18.03.2017;42812;27;8;8.6
19.03.2017;42813;37;11;6.74
20.03.2017;42814;407;11;3.07
21.03.2017;42815;0;8;3.64
22.03.2017;42816;41;7;3.06
23.03.2017;42817;761;10;3.33
24.03.2017;42818;368;11;3.5
25.03.2017;42819;519;10;6.05
26.03.2017;42820;0;7;2.97
27.03.2017;42821;755;8;1.52
28.03.2017;42822;727;11;2.11
29.03.2017;42823;658;12;1.42
30.03.2017;42824;621;13;1.96
31.03.2017;42825;777;14;2.02
01.04.2017;42826;76;11;2.82
02.04.2017;42827;197;11;3.05
03.04.2017;42828;312;12;2.49
04.04.2017;42829;38;10;1.55
05.04.2017;42830;314;9;2.07
06.04.2017;42831;214;8;2.86
07.04.2017;42832;782;8;0.94
08.04.2017;42833;726;11;1.82
09.04.2017;42834;623;14;1.35
10.04.2017;42835;683;15;3.89
11.04.2017;42836;0;10;3.03
12.04.2017;42837;582;10;2.27
13.04.2017;42838;361;11;4.53
14.04.2017;42839;123;10;1.96
15.04.2017;42840;0;10;3.96
16.04.2017;42841;64;8;5.53
17.04.2017;42842;6;7;5.67
18.04.2017;42843;95;4;3
19.04.2017;42844;143;2;6.62
20.04.2017;42845;609;2;4.97
21.04.2017;42846;769;5;1.49
22.04.2017;42847;449;9;3.4
23.04.2017;42848;364;8;2.27
24.04.2017;42849;811;9;2.67
25.04.2017;42850;0;10;4.25
26.04.2017;42851;0;3;4.16
27.04.2017;42852;0;4;2.54
28.04.2017;42853;98;4;4.79
29.04.2017;42854;853;7;3.4
30.04.2017;42855;808;9;3.43
01.05.2017;42856;0;6;4.91
02.05.2017;42857;460;9;2.51
03.05.2017;42858;319;9;2.64
04.05.2017;42859;0;9;1.88
05.05.2017;42860;657;11;2.99
06.05.2017;42861;81;10;3.69
07.05.2017;42862;121;11;6.31
08.05.2017;42863;60;10;5.06
09.05.2017;42864;319;8;3
10.05.2017;42865;814;10;1.23
11.05.2017;42866;41;14;3.85
12.05.2017;42867;243;14;4.07
13.05.2017;42868;525;14;3.57
14.05.2017;42869;82;13;1.94
15.05.2017;42870;782;14;1.28
16.05.2017;42871;738;15;2.44
17.05.2017;42872;767;17;0.75
18.05.2017;42873;252;19;2.59
19.05.2017;42874;155;11;4.81
20.05.2017;42875;682;10;1.87
21.05.2017;42876;840;13;4.28
22.05.2017;42877;677;15;1.34
23.05.2017;42878;483;18;3.71
24.05.2017;42879;468;17;1.66
25.05.2017;42880;766;16;2.82
26.05.2017;42881;812;16;4.81
27.05.2017;42882;760;18;0.93
28.05.2017;42883;619;21;0.82
29.05.2017;42884;778;22;1.34
30.05.2017;42885;344;21;3.25
31.05.2017;42886;441;18;1.69
01.06.2017;42887;479;18;1.15
02.06.2017;42888;449;19;1.2
03.06.2017;42889;449;19;1.27
04.06.2017;42890;373;16;3.72
05.06.2017;42891;25;13;1.4
06.06.2017;42892;277;13;4.41
07.06.2017;42893;666;11;5.49
08.06.2017;42894;788;15;1.08
09.06.2017;42895;163;17;2.83
10.06.2017;42896;695;18;1.78
11.06.2017;42897;779;20;2.18
12.06.2017;42898;433;21;3.55
13.06.2017;42899;469;19;2.05
14.06.2017;42900;490;20;2.04
15.06.2017;42901;559;22;2.54
16.06.2017;42902;575;19;4.68
17.06.2017;42903;639;17;1.82
18.06.2017;42904;885;18;4.79
19.06.2017;42905;829;19;1.73
20.06.2017;42906;840;24;3.23
21.06.2017;42907;857;24;1.52
22.06.2017;42908;817;25;2.57
23.06.2017;42909;499;23;4.39
24.06.2017;42910;400;20;2.22
25.06.2017;42911;675;19;2.91
26.06.2017;42912;488;21;1.74
27.06.2017;42913;680;22;1.29
28.06.2017;42914;17;18;2.56
29.06.2017;42915;328;15;5.11
30.06.2017;42916;776;15;4.06
01.07.2017;42917;456;14;5.59
02.07.2017;42918;121;14;4.48
03.07.2017;42919;579;16;2.5
04.07.2017;42920;876;19;1.32
05.07.2017;42921;723;21;1.29
06.07.2017;42922;857;23;0.85
07.07.2017;42923;749;24;4.11
08.07.2017;42924;744;24;2.44
09.07.2017;42925;0;22;2.68
10.07.2017;42926;318;19;4.28
11.07.2017;42927;222;17;2.46
12.07.2017;42928;323;19;4.57
13.07.2017;42929;413;17;2.58
14.07.2017;42930;289;16;3.09
15.07.2017;42931;669;15;1.8
16.07.2017;42932;799;17;1.23
17.07.2017;42933;849;20;1.49
18.07.2017;42934;540;22;0.82
19.07.2017;42935;611;24;1.09
20.07.2017;42936;438;21;2.72
21.07.2017;42937;416;21;2.27
22.07.2017;42938;711;21;1.52
23.07.2017;42939;298;19;2.88
24.07.2017;42940;29;16;4.06
25.07.2017;42941;6;13;5.82
26.07.2017;42942;365;14;5.84
27.07.2017;42943;0;16;3.34
28.07.2017;42944;495;19;3.52
29.07.2017;42945;638;21;1.22
30.07.2017;42946;755;23;1.87
